"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Out 15","15,07","23,14","25,23","12,80","-","-38,49%"
"Nov 15","16,13","15,41","20,67","13,67","-","7,03%"
"Dez 15","18,21","15,61","26,81","14,45","-","12,90%"
"Jan 16","20,20","22,48","32,09","19,25","-","10,93%"
"Fev 16","20,55","21,32","30,90","18,38","-","1,73%"
"Mar 16","13,95","19,84","20,17","13,06","-","-32,12%"
"Abr 16","15,70","15,23","17,09","12,50","-","12,54%"
"Mai 16","14,19","16,33","17,65","13,04","-","-9,62%"
"Jun 16","15,63","14,45","26,72","12,72","-","10,15%"
"Jul 16","11,87","15,59","17,04","11,40","-","-24,06%"
"Ago 16","13,42","11,89","14,93","11,02","-","13,06%"
"Set 16","13,29","13,07","20,51","11,65","-","-0,97%"
"Out 16","17,06","13,75","17,95","12,21","-","28,37%"
"Nov 16","13,33","16,54","23,01","12,16","-","-21,86%"
"Dez 16","14,04","13,40","14,72","10,93","-","5,33%"
"Jan 17","11,99","14,07","14,07","10,30","-","-14,60%"
"Fev 17","12,92","11,79","12,96","9,97","-","7,76%"
"Mar 17","12,37","12,31","15,11","10,60","-","-4,26%"
"Abr 17","10,82","12,59","16,28","10,22","-","-12,53%"
"Mai 17","10,41","10,92","16,30","9,56","-","-3,79%"
"Jun 17","11,18","10,42","15,16","9,37","-","7,40%"
"Jul 17","10,26","11,07","13,05","8,84","-","-8,23%"
"Ago 17","10,59","10,19","17,28","9,52","-","3,22%"
"Set 17","9,51","10,33","14,06","9,36","-","-10,20%"
"Out 17","10,18","9,59","13,20","9,11","-","7,05%"
"Nov 17","11,28","9,79","14,51","8,56","-","10,81%"
"Dez 17","11,04","11,19","14,58","8,90","-","-2,13%"
"Jan 18","13,54","10,95","15,42","8,92","-","22,64%"
"Fev 18","19,85","13,05","50,30","12,50","-","46,60%"
"Mar 18","19,97","19,96","26,22","13,31","-","0,60%"
"Abr 18","15,93","21,07","25,72","14,57","-","-20,23%"
"Mai 18","15,43","15,78","18,78","10,91","-","-3,14%"
"Jun 18","16,09","14,92","19,61","11,22","-","4,28%"
"Jul 18","12,83","17,70","18,08","11,44","-","-20,26%"
"Ago 18","12,86","13,09","16,86","10,17","-","0,23%"
"Set 18","12,12","13,13","15,63","11,10","-","-5,75%"
"Out 18","21,23","11,99","28,84","11,34","-","75,17%"
"Nov 18","18,07","20,96","23,81","16,09","-","-14,88%"
"Dez 18","25,42","16,04","36,20","15,94","-","40,68%"
"Jan 19","16,57","27,54","28,53","16,54","-","-34,82%"
"Fev 19","14,78","16,63","17,89","13,44","-","-10,80%"
"Mar 19","13,71","14,57","18,33","12,37","-","-7,24%"
"Abr 19","13,12","13,90","14,39","11,03","-","-4,30%"
"Mai 19","18,71","12,86","23,38","12,74","-","42,61%"
"Jun 19","15,08","19,41","19,75","13,19","-","-19,40%"
"Jul 19","16,12","13,85","16,55","11,69","-","6,90%"
"Ago 19","18,98","15,41","24,81","13,73","-","17,74%"
